symbol,dateTime,startPrice,highestPrice,lowestPrice,endPrice,volume
B4NQ.XETRA,2024-01-29T21:59:59Z,82.38,83.1,82.035,83.1,6
B4NQ.XETRA,2022-06-22T21:59:59Z,82.945,83.005,82.38,82.38,20
B4NQ.XETRA,2022-07-15T21:59:59Z,69.24,71.01,69.24,71.01,205
B4NQ.XETRA,2022-08-15T21:59:59Z,77.775,77.9,77.115,77.89,221
B4NQ.XETRA,2022-08-23T21:59:59Z,80.89,81.195,80.825,81.195,0
B4NQ.XETRA,2022-09-09T21:59:59Z,78.925,78.925,78.04,78.04,538
B4NQ.XETRA,2022-09-26T21:59:59Z,76.26,76.765,76.145,76.725,2020
B4NQ.XETRA,2022-10-24T21:59:59Z,77.97,77.985,77.095,77.095,0
B4NQ.XETRA,2022-10-25T21:59:59Z,77.26,77.26,76.23,76.36,0
B4NQ.XETRA,2022-10-27T21:59:59Z,77.62,78.505,77.45,78.505,0
B4NQ.XETRA,2022-11-02T21:59:59Z,78.53,78.53,77.95,77.95,69
B4NQ.XETRA,2022-11-18T21:59:59Z,79.57,79.57,79.125,79.19,0
B4NQ.XETRA,2022-11-23T21:59:59Z,78.99,78.99,78.32,78.32,5
B4NQ.XETRA,2022-11-29T21:59:59Z,78.91,78.91,78.375,78.74,165
B4NQ.XETRA,2022-12-05T21:59:59Z,81.66,82.0,81.255,81.255,25
B4NQ.XETRA,2022-12-19T21:59:59Z,79.575,80.19,79.575,79.7,200
B4NQ.XETRA,2023-01-04T21:59:59Z,80.315,80.535,78.995,78.995,5
B4NQ.XETRA,2023-01-13T21:59:59Z,85.98,86.67,85.98,86.67,22
B4NQ.XETRA,2023-01-18T21:59:59Z,88.35,89.35,88.22,88.22,40
B4NQ.XETRA,2023-01-19T21:59:59Z,87.11,87.835,86.605,87.835,99
B4NQ.XETRA,2023-01-30T21:59:59Z,86.345,86.81,85.82,86.495,62
B4NQ.XETRA,2023-02-07T21:59:59Z,85.055,85.09,84.685,85.09,0
B4NQ.XETRA,2023-02-15T21:59:59Z,84.61,84.68,84.605,84.605,0
B4NQ.XETRA,2023-03-07T21:59:59Z,85.525,85.525,84.77,84.77,5
B4NQ.XETRA,2023-04-26T21:59:59Z,80.405,80.405,79.76,79.76,0
B4NQ.XETRA,2023-05-05T21:59:59Z,79.555,80.265,79.455,80.265,30
B4NQ.XETRA,2023-05-09T21:59:59Z,80.325,80.755,80.325,80.695,65
B4NQ.XETRA,2023-05-22T21:59:59Z,77.955,78.055,77.66,77.81,8
B4NQ.XETRA,2023-05-30T21:59:59Z,78.22,78.545,78.205,78.205,32
B4NQ.XETRA,2023-06-01T21:59:59Z,79.195,79.475,79.12,79.12,0
B4NQ.XETRA,2023-06-02T21:59:59Z,79.085,80.01,79.085,79.45,30
B4NQ.XETRA,2023-08-15T21:59:59Z,79.24,79.24,77.865,78.21,15
B4NQ.XETRA,2023-08-30T21:59:59Z,80.78,80.78,80.68,80.73,0
B4NQ.XETRA,2023-08-31T21:59:59Z,80.65,81.035,80.565,81.035,0
B4NQ.XETRA,2023-09-14T21:59:59Z,81.89,82.615,81.89,82.615,0
B4NQ.XETRA,2023-09-18T21:59:59Z,82.54,82.54,81.66,81.66,35
B4NQ.XETRA,2023-09-29T21:59:59Z,82.06,82.615,81.68,81.825,24
B4NQ.XETRA,2023-10-03T21:59:59Z,79.885,80.185,79.885,80.185,0
B4NQ.XETRA,2023-10-04T21:59:59Z,79.365,79.485,78.95,78.95,5
B4NQ.XETRA,2023-10-09T21:59:59Z,80.615,80.615,80.05,80.285,184
B4NQ.XETRA,2023-10-11T21:59:59Z,79.715,79.715,78.75,79.07,36
B4NQ.XETRA,2023-10-17T21:59:59Z,78.385,78.84,78.37,78.7,8
B4NQ.XETRA,2023-10-23T21:59:59Z,77.915,78.705,77.875,78.33,1405
B4NQ.XETRA,2023-10-30T21:59:59Z,80.58,81.01,80.205,80.205,0
B4NQ.XETRA,2023-11-10T21:59:59Z,79.67,79.67,79.15,79.15,0
B4NQ.XETRA,2023-11-28T21:59:59Z,80.265,80.865,80.205,80.865,0
B4NQ.XETRA,2023-12-07T21:59:59Z,80.755,80.825,80.75,80.825,0
B4NQ.XETRA,2023-12-13T21:59:59Z,80.53,80.945,80.28,80.945,95
APC.XETRA,2022-07-26T21:59:59Z,149.12,150.7,148.88,148.0947,62185
APC.XETRA,2022-11-25T21:59:59Z,144.84,145.3,142.0,141.2081,145976
APC.XETRA,2023-12-12T21:59:59Z,179.2,179.4,177.92,179.26,54151
APC.XETRA,2023-06-16T21:59:59Z,169.7,171.0,168.9,169.1908,69903
APC.XETRA,2022-07-19T21:59:59Z,145.26,146.66,143.36,145.3397,66288
APC.XETRA,2023-07-03T21:59:59Z,178.08,178.7,175.88,175.7119,95143
APC.XETRA,2023-07-10T21:59:59Z,172.9,173.72,170.7,170.7463,67832
APC.XETRA,2023-07-18T21:59:59Z,172.42,172.6,171.7,171.4243,40217
APC.XETRA,2023-08-23T21:59:59Z,163.9,167.1,163.82,166.4449,67232
APC.XETRA,2022-10-14T21:59:59Z,146.84,148.12,143.24,142.5302,83268
APC.XETRA,2023-08-22T21:59:59Z,161.2,163.56,161.04,162.9698,86577
APC.XETRA,2022-10-06T21:59:59Z,147.9,150.14,146.7,147.8892,84885
APC.XETRA,2024-01-10T21:59:59Z,168.82,169.34,168.12,168.24,47506
APC.XETRA,2022-08-19T21:59:59Z,171.7,172.66,170.96,169.9406,59553
APC.XETRA,2022-09-19T21:59:59Z,149.84,152.58,149.06,150.5687,77673
APC.XETRA,2022-12-12T21:59:59Z,135.02,135.38,133.98,133.8922,45658
APC.XETRA,2023-08-08T21:59:59Z,162.02,164.22,161.92,162.0913,91164
APC.XETRA,2023-09-05T21:59:59Z,175.62,177.0,174.2,176.271,82194
APC.XETRA,2023-11-14T21:59:59Z,172.68,174.24,172.02,172.02,69029
APC.XETRA,2023-12-08T21:59:59Z,179.68,181.16,179.68,181.12,45491
APC.XETRA,2024-01-16T21:59:59Z,168.72,169.34,166.48,168.72,41114
APC.XETRA,2022-08-22T21:59:59Z,169.38,170.08,168.28,168.3527,85861
APC.XETRA,2023-09-19T21:59:59Z,166.88,167.44,165.74,166.1253,52771
APC.XETRA,2023-02-03T21:59:59Z,133.0,144.94,132.52,144.0708,335305
APC.XETRA,2023-02-20T21:59:59Z,142.92,143.1,142.0,142.0141,39736
APC.XETRA,2023-04-26T21:59:59Z,149.78,149.78,146.92,148.2466,65552
APC.XETRA,2023-05-08T21:59:59Z,157.2,157.62,155.98,156.6297,67945
APC.XETRA,2023-12-01T21:59:59Z,174.5,175.88,173.98,175.56,59607
APC.XETRA,2023-05-29T21:59:59Z,164.78,164.78,164.0,163.926,38936
APC.XETRA,2022-06-15T21:59:59Z,127.38,129.32,126.96,127.7594,89569
APC.XETRA,2022-09-09T21:59:59Z,154.58,156.5,153.76,155.3124,109621
